Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
file57.txt,1952.6,1115.8,1018.1,516.0,3,0,0
file58.txt,1934.1,1375.4,830.9,616.0,1,0,0
file59.txt,2067.2,1344.2,641.5,539.7,2,0,2
file60.txt,1708.6,1496.7,649.0,529.8,4,0,2
file61.txt,1627.2,1420.1,650.9,251.5,1,0,0
file62.txt,2365.4,1373.9,694.1,410.8,3,1,0
file63.txt,2265.0,1096.9,498.6,612.5,1,0,0
file64.txt,2180.0,1368.8,811.2,329.5,1,0,0
file65.txt,2086.1,1130.6,565.3,484.5,2,0,0
file66.txt,2127.4,1219.5,636.9,596.2,0,0,1
file67.txt,2352.9,1147.8,817.8,860.8,0,0,2
file68.txt,2161.6,1292.9,1050.5,484.8,0,0,0
file69.txt,2600.3,1272.5,871.4,456.4,3,0,1
file70.txt,2447.0,1337.7,668.8,571.0,2,0,0
file71.txt,2434.7,1211.4,700.7,522.6,1,0,2
file72.txt,2469.7,1227.3,681.8,363.6,3,0,0
file73.txt,1800.3,1350.2,689.2,337.6,0,1,0
file74.txt,2171.6,1447.7,442.4,844.5,0,0,0
file75.txt,2676.3,1295.0,690.6,302.2,3,0,2
file76.txt,2096.8,1586.0,846.8,443.5,0,0,0
file77.txt,2106.0,1087.0,1005.4,570.7,3,0,0
file78.txt,2021.1,1446.4,546.0,459.8,2,0,3
file79.txt,2535.2,1154.9,816.9,521.1,1,0,0
file80.txt,2106.7,1386.7,626.7,400.0,1,0,1
file81.txt,2382.4,1411.8,617.6,617.6,2,0,2
file82.txt,2067.9,1388.9,617.3,339.5,0,0,0
file83.txt,2089.6,1477.6,582.1,492.5,2,0,1
file84.txt,2143.8,1344.9,625.8,692.4,2,0,1
file85.txt,2215.8,1079.1,805.8,546.8,4,0,3
file86.txt,2181.6,1071.9,567.5,592.7,2,0,0
file87.txt,2006.1,1301.7,796.3,490.0,1,0,0
file88.txt,2539.7,1183.3,793.7,505.1,0,0,0
file89.txt,1943.3,1461.0,865.2,468.1,2,0,1
file90.txt,2179.1,1209.0,686.6,447.8,3,0,0
file91.txt,2060.1,1301.9,557.9,414.9,1,0,0
file92.txt,2036.7,1402.3,651.1,651.1,2,0,1
file93.txt,2448.4,1059.1,921.6,412.7,0,0,0
file94.txt,2011.2,1438.5,670.4,363.1,0,0,1
file95.txt,2483.8,1306.8,824.8,463.4,2,0,3
file96.txt,2202.5,1272.2,752.4,506.2,0,0,0
file97.txt,2012.2,1365.9,890.2,646.3,1,1,0
file98.txt,2178.8,1312.8,824.0,642.5,1,0,0
file99.txt,2082.2,1178.1,684.9,657.5,2,0,1
file100.txt,2263.2,1332.3,834.7,417.3,0,0,0
file101.txt,2154.5,1352.2,817.2,475.5,1,0,0
file102.txt,2189.3,1200.6,678.0,409.6,1,0,0
file103.txt,2415.5,1272.1,692.4,386.5,1,0,1
file104.txt,2151.9,1430.4,810.1,670.9,2,0,0
file105.txt,2119.4,1522.4,761.2,552.2,0,0,0
file106.txt,2172.5,1288.2,687.8,622.3,2,0,0
file107.txt,2040.8,1462.6,714.3,476.2,1,0,0
file108.txt,2400.0,1392.6,622.2,400.0,1,0,0
file109.txt,2049.7,1205.0,745.3,894.4,4,1,0
file110.txt,1765.5,1436.1,869.6,685.1,0,0,0
file111.txt,2285.3,1242.3,751.5,352.8,1,0,0
file112.txt,2300.9,1120.9,855.5,472.0,1,0,0
file113.txt,2016.5,1385.5,754.5,397.8,6,0,1
file114.txt,2087.2,1175.7,726.6,700.1,4,0,0
file115.txt,2496.8,1349.3,580.1,592.7,0,0,0
file116.txt,1868.9,1450.5,767.1,585.8,0,0,0
file117.txt,2449.0,1239.1,670.6,481.0,1,1,2
file118.txt,2420.5,1219.1,742.0,388.7,2,0,0
file119.txt,1975.7,1322.2,775.1,683.9,4,0,0
file120.txt,1912.5,1275.0,787.5,550.0,2,0,0
file121.txt,2736.3,1218.9,659.2,547.3,1,0,2
file122.txt,2140.0,1292.1,821.0,551.8,0,0,1
file123.txt,2069.5,1248.0,647.7,473.9,0,0,1
file124.txt,2489.6,1286.3,746.9,594.7,1,0,0
file125.txt,2216.3,1274.1,749.5,578.2,0,0,0
file126.txt,2266.5,1359.9,714.3,522.0,0,0,2
file127.txt,1762.8,1301.5,889.6,461.3,6,0,0
file128.txt,2134.8,1396.5,674.2,497.6,0,1,0
file129.txt,2255.8,1004.1,756.5,495.2,3,0,0
file130.txt,2353.8,1424.3,689.7,509.7,2,0,0
file131.txt,2269.3,1197.0,897.8,561.1,1,0,1
file132.txt,2134.5,1280.7,802.1,465.7,1,0,0
file133.txt,2660.8,1184.2,862.6,526.3,1,0,0
file134.txt,2179.1,985.1,895.5,582.1,0,0,1
file135.txt,2196.6,1432.0,716.0,509.7,0,0,1
file136.txt,2099.7,1259.8,656.2,472.4,1,0,1
file137.txt,2151.9,1448.7,647.0,506.3,2,0,0
file138.txt,2262.9,1246.6,623.3,460.7,5,0,1
file139.txt,2660.8,1252.8,787.1,410.2,1,1,3
file140.txt,1930.2,1395.3,453.5,604.7,4,0,1
file141.txt,2476.8,1099.1,727.6,418.0,0,0,0
file142.txt,2402.2,1173.2,838.0,419.0,0,0,0
file143.txt,2346.4,1243.0,586.6,656.4,1,0,0
file144.txt,1746.2,1243.7,791.5,703.5,4,0,0
file145.txt,2447.9,1394.1,559.8,603.7,3,0,0
file146.txt,1919.0,1263.4,679.4,548.3,2,0,0
file147.txt,2062.3,1320.5,682.5,459.9,1,0,0
file148.txt,2181.1,1478.7,776.3,591.5,1,0,1
file149.txt,1898.9,1448.1,751.4,560.1,1,0,0
file150.txt,2172.8,1156.3,838.6,559.1,9,0,3
file151.txt,2500.0,1104.7,712.2,348.8,3,0,1
file152.txt,1756.8,1300.7,878.4,726.4,0,0,0
file153.txt,2130.6,1275.3,964.2,497.7,1,0,0
file154.txt,2225.8,1081.1,1001.6,588.2,0,1,0
file155.txt,2712.4,1266.8,715.4,432.2,1,0,0
file156.txt,2179.2,1186.4,944.3,665.9,1,0,1
file157.txt,2441.5,1125.7,964.9,599.4,0,0,1
file158.txt,2314.0,1204.3,720.2,743.8,3,0,1
file159.txt,2325.6,959.3,654.1,581.4,1,0,1
file160.txt,2455.3,1132.3,488.7,381.4,8,0,3
file161.txt,2140.9,1233.1,772.4,447.2,1,0,0
file162.txt,2383.5,1491.3,599.2,359.5,2,0,0
file163.txt,2168.8,1441.6,506.5,363.6,4,0,1
file164.txt,2220.4,1168.6,968.3,601.0,0,0,0
file165.txt,2236.1,1319.4,986.1,625.0,1,0,0
file166.txt,1956.9,1217.3,724.2,585.5,0,0,0
file167.txt,1995.0,1433.9,660.8,548.6,0,0,0
